,Year,Team,Player
1151,1962,2nd,Tom Heinsohn
1152,1962,2nd,Jack Twyman
1153,1962,2nd,Bob Cousy
1154,1962,2nd,Richie Guerin
1160,1961,1st,Wilt Chamberlain
1161,1961,1st,Elgin Baylor
1162,1961,1st,Bob Pettit
1163,1961,1st,Bob Cousy
1164,1961,1st,Oscar Robertson
1165,1961,2nd,Bill Russell
1166,1961,2nd,Tom Heinsohn
1167,1961,2nd,Dolph Schayes
1168,1961,2nd,Larry Costello
1169,1961,2nd,Gene Shue
1175,1960,1st,Wilt Chamberlain
1176,1960,1st,Elgin Baylor
1177,1960,1st,Bob Pettit
1178,1960,1st,Bob Cousy
1179,1960,1st,Gene Shue
1180,1960,2nd,Bill Russell
1181,1960,2nd,Dolph Schayes
1182,1960,2nd,Jack Twyman
1183,1960,2nd,Richie Guerin
1184,1960,2nd,Bill Sharman
1190,1959,1st,Bill Russell
1191,1959,1st,Elgin Baylor
1192,1959,1st,Bob Pettit
1193,1959,1st,Bob Cousy
1194,1959,1st,Bill Sharman
1195,1959,2nd,Dolph Schayes
1196,1959,2nd,Paul Arizin
1197,1959,2nd,Cliff Hagan
1198,1959,2nd,Richie Guerin
1199,1959,2nd,Slater Martin
1205,1958,1st,Bob Pettit
1206,1958,1st,Dolph Schayes
1207,1958,1st,George Yardley
1208,1958,1st,Bob Cousy
1209,1958,1st,Bill Sharman
1210,1958,2nd,Bill Russell
1211,1958,2nd,Cliff Hagan
1212,1958,2nd,Maurice Stokes
1213,1958,2nd,Tom Gola
1214,1958,2nd,Slater Martin
1220,1957,1st,Bob Pettit
1221,1957,1st,Paul Arizin
1222,1957,1st,Dolph Schayes
1223,1957,1st,Bob Cousy
1224,1957,1st,Bill Sharman
1225,1957,2nd,Neil Johnston
1226,1957,2nd,Maurice Stokes
1227,1957,2nd,George Yardley
1228,1957,2nd,Dick Garmaker
1229,1957,2nd,Slater Martin
1235,1956,1st,Neil Johnston
1236,1956,1st,Paul Arizin
1237,1956,1st,Bob Pettit
1238,1956,1st,Bob Cousy
1239,1956,1st,Bill Sharman
1240,1956,2nd,Clyde Lovellette
1241,1956,2nd,Dolph Schayes
1242,1956,2nd,Maurice Stokes
1243,1956,2nd,Jack George
1244,1956,2nd,Slater Martin
1250,1955,1st,Bob Cous
1251,1955,1st,Larry Fous
1252,1955,1st,Neil Johnsto
1253,1955,1st,Bob Petti
1254,1955,1st,Dolph Schaye
1255,1955,2nd,Harry Gallati
1256,1955,2nd,Slater Marti
1257,1955,2nd,Vern Mikkelse
1258,1955,2nd,Paul Seymou
1259,1955,2nd,Bill Sharma
1265,1954,1st,Bob Cous
1266,1954,1st,Harry Gallati
1267,1954,1st,Neil Johnsto
1268,1954,1st,George Mika
1269,1954,1st,Dolph Schaye
1270,1954,2nd,Carl Brau
1271,1954,2nd,Ed Macaule
1272,1954,2nd,Jim Pollar
1273,1954,2nd,Paul Seymou
1274,1954,2nd,Bobby Wanze
1280,1953,1st,Bob Cous
1281,1953,1st,Neil Johnsto
1282,1953,1st,Ed Macaule
1283,1953,1st,George Mika
1284,1953,1st,Dolph Schaye
1285,1953,2nd,Bob Davie
1286,1953,2nd,Vern Mikkelse
1287,1953,2nd,Andy Philli
1288,1953,2nd,Bill Sharma
1289,1953,2nd,Bobby Wanze
1295,1952,1st,Paul Arizi
1296,1952,1st,Bob Cous
1297,1952,1st,Ed Macaule
1298,1952,1st,George Mika
1299,1952,1st,"Bob Davies , Dolph Schayes ("
1300,1952,2nd,Larry Fous
1301,1952,2nd,Vern Mikkelse
1302,1952,2nd,Andy Philli
1303,1952,2nd,Jim Pollar
1304,1952,2nd,Bobby Wanze
1310,1951,1st,Ralph Bear
1311,1951,1st,Bob Davie
1312,1951,1st,Alex Groz
1313,1951,1st,Ed Macaule
1314,1951,1st,George Mika
1315,1951,2nd,Frankie Bria
1316,1951,2nd,Joe Fulk
1317,1951,2nd,Dick McGuir
1318,1951,2nd,Vern Mikkelse
1319,1951,2nd,Dolph Schaye
1325,1950,1st,Bob Davie
1326,1950,1st,Alex Groz
1327,1950,1st,George Mika
1328,1950,1st,Jim Pollar
1329,1950,1st,Max Zaslofsk
1330,1950,2nd,Ralph Bear
1331,1950,2nd,Frankie Bria
1332,1950,2nd,Al Cerv
1333,1950,2nd,Fred Schau
1334,1950,2nd,Dolph Schaye
1340,1949,1st,Bob Davie
1341,1949,1st,Joe Fulk
1342,1949,1st,George Mika
1343,1949,1st,Jim Pollar
1344,1949,1st,Max Zaslofsk
1345,1949,2nd,Bob Feeric
1346,1949,2nd,John Loga
1347,1949,2nd,Bones McKinne
1348,1949,2nd,Arnie Rise
1349,1949,2nd,Kenny Sailor
1355,1948,1st,Howie Dallma
1356,1948,1st,Bob Feeric
1357,1948,1st,Joe Fulk
1358,1948,1st,Ed Sadowsk
1359,1948,1st,Max Zaslofsk
1360,1948,2nd,Carl Brau
1361,1948,2nd,Buddy Jeannett
1362,1948,2nd,John Loga
1363,1948,2nd,Stan Miase
1364,1948,2nd,Fred Scolar
1370,1947,1st,Bob Feeric
1371,1947,1st,Joe Fulk
1372,1947,1st,Bones McKinne
1373,1947,1st,Stan Miase
1374,1947,1st,Max Zaslofsk
1375,1947,2nd,Frankie Baumholt
1376,1947,2nd,Ernie Calverle
1377,1947,2nd,Chick Halber
1378,1947,2nd,John Loga
1379,1947,2nd,Fred Scolar
